score	frequency	target
-3314287	1	chm13
-3305338	1	chm13
-3301100	1	chm13
-3287051	1	chm13
-3270181	1	chm13
-3263614	1	chm13
-3263264	1	chm13
-3259611	1	chm13
-3253166	1	chm13
-3248634	1	chm13
-3246188	1	chm13
-3239704	1	chm13
-3230217	1	chm13
-3223947	1	chm13
-3188064	1	chm13
-3187751	1	chm13
-3187582	1	chm13
-3179604	1	chm13
-3179054	1	chm13
-3177708	1	chm13
-3177486	1	chm13
-3172933	1	chm13
-3169303	1	chm13
-3167250	1	chm13
-3164355	1	chm13
-3162888	1	chm13
-3154606	1	chm13
-3147196	1	chm13
-3142298	1	chm13
-3138238	1	chm13
-3131941	1	chm13
-3126570	1	chm13
-3120517	1	chm13
-3116356	1	chm13
-3116346	1	chm13
-3105538	1	chm13
-3104475	1	chm13
-3104381	1	chm13
-3103451	1	chm13
-3103435	1	chm13
-3099017	1	chm13
-3096999	1	chm13
-3082970	1	chm13
-3081769	1	chm13
-3073349	1	chm13
-3066896	1	chm13
-3059186	1	chm13
-3053133	1	chm13
-3050219	1	chm13
-3047450	1	chm13
-3047256	1	chm13
-3042919	1	chm13
-3036673	1	chm13
-3032305	1	chm13
-3030736	1	chm13
-3030105	1	chm13
-3029902	1	chm13
-3023588	1	chm13
-3023385	1	chm13
-3021658	1	chm13
-3017731	1	chm13
-3017474	1	chm13
-3016574	1	chm13
-3016042	1	chm13
-3014841	1	chm13
-3014250	1	chm13
-3014010	1	chm13
-3012735	1	chm13
-3012624	1	chm13
-3008363	1	chm13
-3005930	1	chm13
-3002968	1	chm13
-2998054	1	chm13
-2996409	1	chm13
-2995925	1	chm13
-2994763	1	chm13
-2991038	1	chm13
-2987648	1	chm13
-2985674	1	chm13
-2984831	1	chm13
-2982858	1	chm13
-2980877	1	chm13
-2979690	1	chm13
-2977946	1	chm13
-2976871	1	chm13
-2966992	1	chm13
-2966605	1	chm13
-2961441	1	chm13
-2959945	1	chm13
-2958582	1	chm13
-2956024	1	chm13
-2945603	1	chm13
-2944371	1	chm13
