score_per_base	frequency	target
-1.53598	1	chm13
-1.53580	1	chm13
-1.53553	2	chm13
-1.53542	1	chm13
-1.53531	2	chm13
-1.53511	1	chm13
-1.53499	1	chm13
-1.53468	1	chm13
-1.53459	1	chm13
-1.53452	1	chm13
-1.53450	1	chm13
-1.53431	1	chm13
-1.53412	1	chm13
-1.53377	1	chm13
-1.53350	1	chm13
-1.53338	1	chm13
-1.53330	1	chm13
-1.53318	1	chm13
-1.53306	1	chm13
-1.53305	1	chm13
-1.53296	1	chm13
-1.53291	1	chm13
-1.53288	1	chm13
-1.53285	1	chm13
-1.53251	1	chm13
-1.53236	1	chm13
-1.53207	1	chm13
-1.53187	1	chm13
-1.53180	1	chm13
-1.53178	1	chm13
-1.53171	1	chm13
-1.53162	1	chm13
-1.53154	1	chm13
-1.53151	1	chm13
-1.53146	1	chm13
-1.53142	1	chm13
-1.53127	1	chm13
-1.53125	2	chm13
-1.53109	1	chm13
-1.53100	1	chm13
-1.53091	1	chm13
-1.53083	1	chm13
-1.53075	1	chm13
-1.53067	1	chm13
-1.53021	1	chm13
-1.53006	1	chm13
-1.52980	1	chm13
-1.52969	1	chm13
-1.52953	1	chm13
-1.52946	1	chm13
-1.52933	1	chm13
-1.52920	1	chm13
-1.52912	1	chm13
-1.52909	1	chm13
-1.52900	1	chm13
-1.52899	1	chm13
-1.52896	1	chm13
-1.52893	1	chm13
-1.52890	1	chm13
-1.52883	1	chm13
-1.52856	1	chm13
-1.52853	1	chm13
-1.52839	1	chm13
-1.52821	1	chm13
-1.52805	1	chm13
-1.52795	1	chm13
-1.52789	2	chm13
-1.52787	1	chm13
-1.52763	1	chm13
-1.52759	1	chm13
-1.52743	1	chm13
-1.52735	1	chm13
-1.52676	1	chm13
-1.52650	1	chm13
-1.52645	1	chm13
-1.52636	1	chm13
-1.52635	1	chm13
-1.52631	1	chm13
-1.52615	1	chm13
-1.52600	1	chm13
-1.52596	1	chm13
-1.52574	1	chm13
-1.52545	1	chm13
-1.52532	1	chm13
-1.52524	1	chm13
-1.52523	1	chm13
-1.52514	1	chm13
-1.52513	1	chm13
-1.52507	1	chm13
-1.52484	1	chm13
-1.52481	1	chm13
-1.52449	1	chm13
-1.52427	1	chm13
-1.52422	1	chm13
-1.52407	1	chm13
-1.52396	1	chm13
-1.52393	1	chm13
-1.52392	1	chm13
-1.52387	1	chm13
-1.52383	1	chm13
-1.52373	1	chm13
-1.52344	1	chm13
-1.52337	1	chm13
-1.52324	1	chm13
-1.52313	2	chm13
-1.52284	1	chm13
-1.52266	1	chm13
-1.52264	1	chm13
-1.52250	1	chm13
-1.52246	1	chm13
-1.52225	1	chm13
-1.52174	1	chm13
-1.52170	1	chm13
-1.52163	1	chm13
-1.52153	1	chm13
-1.52149	1	chm13
-1.52129	1	chm13
-1.52076	1	chm13
-1.52064	1	chm13
-1.52060	1	chm13
-1.52047	1	chm13
-1.52026	1	chm13
-1.52008	1	chm13
-1.52001	1	chm13
-1.51989	1	chm13
-1.51976	1	chm13
-1.51970	1	chm13
-1.51955	1	chm13
-1.51950	1	chm13
-1.51946	1	chm13
-1.51935	1	chm13
-1.51925	1	chm13
-1.51912	1	chm13
-1.51901	1	chm13
-1.51868	1	chm13
-1.51864	1	chm13
-1.51858	1	chm13
-1.51850	1	chm13
-1.51825	2	chm13
-1.51816	1	chm13
-1.51798	1	chm13
-1.51787	1	chm13
-1.51777	1	chm13
-1.51772	1	chm13
-1.51768	1	chm13
-1.51757	1	chm13
-1.51749	1	chm13
-1.51746	1	chm13
-1.51736	1	chm13
-1.51735	1	chm13
-1.51731	1	chm13
-1.51726	1	chm13
-1.51720	1	chm13
-1.51702	1	chm13
-1.51701	1	chm13
-1.51700	1	chm13
-1.51695	1	chm13
-1.51683	1	chm13
-1.51665	1	chm13
-1.51663	1	chm13
-1.51654	1	chm13
-1.51649	1	chm13
-1.51593	1	chm13
-1.51563	1	chm13
-1.51562	1	chm13
-1.51555	1	chm13
-1.51499	1	chm13
-1.51485	1	chm13
-1.51480	1	chm13
-1.51479	1	chm13
-1.51464	2	chm13
-1.51443	1	chm13
-1.51434	1	chm13
-1.51423	1	chm13
-1.51406	1	chm13
-1.51405	1	chm13
-1.51346	1	chm13
-1.51342	1	chm13
-1.51326	1	chm13
-1.51276	1	chm13
-1.51275	1	chm13
-1.51239	1	chm13
-1.51236	1	chm13
-1.51234	1	chm13
-1.51233	1	chm13
-1.51195	1	chm13
-1.51181	3	chm13
-1.51170	1	chm13
-1.51166	1	chm13
-1.51158	1	chm13
-1.51153	1	chm13
-1.51149	1	chm13
-1.51128	2	chm13
-1.51125	1	chm13
-1.51116	1	chm13
-1.51104	1	chm13
-1.51103	1	chm13
-1.51093	1	chm13
-1.51091	1	chm13
-1.51082	1	chm13
-1.51062	1	chm13
-1.51029	1	chm13
-1.51024	1	chm13
-1.51018	1	chm13
-1.51007	1	chm13
-1.51005	2	chm13
-1.50996	1	chm13
-1.50990	1	chm13
-1.50987	1	chm13
-1.50948	1	chm13
-1.50924	1	chm13
-1.50852	1	chm13
-1.50848	1	chm13
-1.50779	1	chm13
-1.50777	1	chm13
-1.50770	1	chm13
-1.50762	1	chm13
-1.50758	1	chm13
-1.50750	1	chm13
-1.50730	1	chm13
-1.50724	1	chm13
-1.50718	1	chm13
-1.50712	1	chm13
-1.50711	1	chm13
-1.50703	1	chm13
-1.50686	1	chm13
-1.50658	1	chm13
-1.50613	1	chm13
-1.50594	1	chm13
-1.50565	1	chm13
-1.50542	1	chm13
-1.50516	1	chm13
-1.50508	1	chm13
-1.50496	1	chm13
-1.50492	1	chm13
-1.50464	1	chm13
-1.50462	1	chm13
-1.50414	1	chm13
-1.50377	1	chm13
-1.50375	1	chm13
-1.50354	1	chm13
-1.50337	1	chm13
-1.50329	1	chm13
-1.50310	1	chm13
-1.50269	1	chm13
-1.50264	1	chm13
-1.50255	1	chm13
-1.50251	1	chm13
-1.50245	1	chm13
-1.50222	1	chm13
-1.50213	1	chm13
-1.50184	1	chm13
-1.50183	1	chm13
-1.50176	1	chm13
-1.50164	1	chm13
-1.50117	1	chm13
-1.50116	1	chm13
-1.50112	1	chm13
-1.50103	1	chm13
-1.50078	1	chm13
-1.50073	1	chm13
-1.50038	1	chm13
-1.50031	1	chm13
-1.50000	1	chm13
-1.49995	1	chm13
-1.49991	1	chm13
-1.49986	1	chm13
-1.49972	1	chm13
-1.49965	1	chm13
-1.49961	1	chm13
-1.49940	1	chm13
-1.49932	1	chm13
-1.49926	1	chm13
-1.49922	1	chm13
-1.49921	1	chm13
-1.49917	1	chm13
-1.49910	1	chm13
-1.49901	1	chm13
-1.49890	1	chm13
-1.49853	1	chm13
-1.49847	1	chm13
-1.49844	1	chm13
-1.49841	1	chm13
-1.49826	1	chm13
-1.49818	1	chm13
-1.49794	1	chm13
-1.49788	1	chm13
-1.49761	1	chm13
-1.49743	1	chm13
-1.49740	1	chm13
-1.49733	1	chm13
-1.49732	1	chm13
-1.49682	1	chm13
-1.49663	1	chm13
-1.49646	1	chm13
-1.49615	1	chm13
-1.49607	1	chm13
-1.49571	1	chm13
-1.49569	1	chm13
-1.49561	1	chm13
-1.49537	1	chm13
-1.49527	1	chm13
-1.49511	1	chm13
-1.49503	1	chm13
-1.49500	1	chm13
-1.49468	1	chm13
-1.49464	1	chm13
-1.49436	1	chm13
-1.49433	1	chm13
-1.49412	1	chm13
-1.49399	1	chm13
-1.49363	1	chm13
-1.49358	1	chm13
-1.49330	1	chm13
-1.49315	1	chm13
-1.49314	1	chm13
-1.49307	1	chm13
-1.49286	1	chm13
-1.49270	1	chm13
-1.49239	1	chm13
-1.49232	1	chm13
-1.49204	1	chm13
-1.49180	1	chm13
-1.49173	1	chm13
-1.49166	1	chm13
-1.49160	1	chm13
-1.49157	1	chm13
-1.49146	1	chm13
-1.49145	1	chm13
-1.49142	1	chm13
-1.49113	1	chm13
-1.49104	2	chm13
-1.49088	1	chm13
-1.49067	1	chm13
-1.49061	1	chm13
-1.49042	1	chm13
-1.49004	1	chm13
-1.48984	1	chm13
-1.48971	1	chm13
-1.48944	2	chm13
-1.48926	1	chm13
-1.48884	1	chm13
-1.48875	1	chm13
-1.48840	1	chm13
-1.48826	1	chm13
-1.48818	1	chm13
-1.48808	1	chm13
-1.48795	1	chm13
-1.48789	1	chm13
-1.48788	1	chm13
-1.48752	1	chm13
-1.48738	1	chm13
-1.48733	1	chm13
-1.48722	1	chm13
-1.48706	1	chm13
-1.48687	1	chm13
-1.48658	1	chm13
-1.48651	1	chm13
-1.48615	1	chm13
-1.48614	1	chm13
-1.48592	1	chm13
-1.48585	1	chm13
-1.48582	1	chm13
-1.48559	1	chm13
-1.48557	1	chm13
-1.48550	1	chm13
-1.48546	1	chm13
-1.48527	1	chm13
-1.48523	1	chm13
-1.48499	1	chm13
-1.48497	1	chm13
-1.48482	1	chm13
-1.48461	2	chm13
-1.48439	1	chm13
-1.48426	1	chm13
-1.48382	1	chm13
-1.48363	1	chm13
-1.48360	2	chm13
-1.48343	1	chm13
-1.48330	1	chm13
-1.48322	1	chm13
-1.48288	2	chm13
-1.48279	1	chm13
-1.48253	1	chm13
-1.48243	1	chm13
-1.48241	1	chm13
-1.48231	1	chm13
-1.48229	1	chm13
-1.48215	1	chm13
-1.48210	1	chm13
-1.48208	1	chm13
-1.48188	1	chm13
-1.48186	1	chm13
-1.48178	2	chm13
-1.48175	1	chm13
-1.48155	1	chm13
-1.48149	1	chm13
-1.48144	1	chm13
-1.48140	1	chm13
-1.48126	1	chm13
-1.48118	1	chm13
-1.48105	1	chm13
-1.48071	1	chm13
-1.48055	1	chm13
-1.48051	1	chm13
-1.48039	1	chm13
-1.48007	1	chm13
-1.47999	1	chm13
-1.47991	1	chm13
-1.47972	1	chm13
-1.47960	1	chm13
-1.47891	1	chm13
-1.47881	1	chm13
-1.47862	1	chm13
-1.47823	1	chm13
-1.47819	1	chm13
-1.47792	2	chm13
-1.47788	1	chm13
-1.47782	1	chm13
-1.47755	1	chm13
-1.47752	1	chm13
-1.47708	1	chm13
-1.47697	1	chm13
-1.47684	1	chm13
-1.47675	1	chm13
-1.47652	1	chm13
-1.47646	1	chm13
